Seed,d,Tol,Convergence,Loss,Accuracy
76820.0,64.0,0.01,6.0,0.4896944754092777,0.90234375
76820.0,64.0,0.001,29.0,0.4929834377229421,0.93359375
76820.0,64.0,0.0001,29.0,0.4929834377229421,0.93359375
54886.0,64.0,0.01,6.0,0.3956297143242159,0.86328125
54886.0,64.0,0.001,29.0,0.695452420978764,0.875
54886.0,64.0,0.0001,35.0,0.2833180651006678,1.0
6265.0,64.0,0.01,5.0,2.3152484527085195,0.16796875
6265.0,64.0,0.001,23.0,0.3473789299501712,0.9921875
6265.0,64.0,0.0001,49.0,0.2187868371987562,0.9921875
82386.0,64.0,0.01,6.0,1.2613357457809746,0.4609375
82386.0,64.0,0.001,11.0,1.5722629972469744,0.5625
82386.0,64.0,0.0001,147.0,0.4700397891541117,0.9375
37194.0,64.0,0.01,4.0,0.7404424162904862,0.79296875
37194.0,64.0,0.001,14.0,0.5281469656548684,0.90234375
37194.0,64.0,0.0001,15.0,0.5281624754712715,0.90234375
87498.0,64.0,0.01,7.0,1.259627332882249,0.47265625
87498.0,64.0,0.001,24.0,1.1870388518823232,0.4453125
87498.0,64.0,0.0001,116.0,1.0968090524569165,0.515625
44131.0,64.0,0.01,3.0,1.3287824569228186,0.515625
44131.0,64.0,0.001,23.0,0.7236562316339645,0.80078125
44131.0,64.0,0.0001,63.0,0.40335144098113773,0.9921875
60263.0,64.0,0.01,2.0,1.4259309623658927,0.390625
60263.0,64.0,0.001,32.0,0.7754163170414539,0.671875
60263.0,64.0,0.0001,111.0,0.5364240973041345,0.85546875
