M,seed,0.001,0.01,0.1
64.0,2882.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,9025.0,1125899906842624.0,8796093022208.0,68719476736.0
64.0,7794.0,140737488355328.0,1099511627776.0,8589934592.0
64.0,6391.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,7669.0,281474976710656.0,2199023255552.0,4294967296.0
64.0,915.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,8411.0,35184372088832.0,549755813888.0,8589934592.0
64.0,5442.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,3872.0,140737488355328.0,1099511627776.0,8589934592.0
64.0,4403.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,4745.0,1125899906842624.0,8796093022208.0,17179869184.0
64.0,6288.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,675.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,7545.0,281474976710656.0,2199023255552.0,17179869184.0
64.0,2264.0,70368744177664.0,549755813888.0,8589934592.0
64.0,6482.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,8976.0,70368744177664.0,549755813888.0,4294967296.0
64.0,6803.0,281474976710656.0,4398046511104.0,34359738368.0
64.0,3652.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,4433.0,140737488355328.0,1099511627776.0,4294967296.0
64.0,4616.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,9197.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,5089.0,281474976710656.0,2199023255552.0,17179869184.0
64.0,7293.0,70368744177664.0,549755813888.0,4294967296.0
64.0,7403.0,35184372088832.0,274877906944.0,4294967296.0
64.0,3994.0,1125899906842624.0,8796093022208.0,68719476736.0
64.0,3679.0,70368744177664.0,549755813888.0,4294967296.0
64.0,7663.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,761.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,6366.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,6823.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,8224.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,851.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,2750.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,971.0,70368744177664.0,549755813888.0,8589934592.0
64.0,9654.0,281474976710656.0,4398046511104.0,34359738368.0
64.0,7536.0,70368744177664.0,549755813888.0,8589934592.0
64.0,436.0,281474976710656.0,4398046511104.0,34359738368.0
64.0,8505.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,6965.0,70368744177664.0,1099511627776.0,4294967296.0
64.0,4348.0,281474976710656.0,2199023255552.0,17179869184.0
64.0,8528.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,1937.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,3621.0,70368744177664.0,549755813888.0,4294967296.0
64.0,634.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,933.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,4963.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,9670.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,4346.0,70368744177664.0,549755813888.0,8589934592.0
64.0,3119.0,35184372088832.0,274877906944.0,4294967296.0
64.0,8041.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,6278.0,70368744177664.0,549755813888.0,8589934592.0
64.0,6744.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,4681.0,70368744177664.0,549755813888.0,8589934592.0
64.0,7757.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,4094.0,140737488355328.0,1099511627776.0,8589934592.0
64.0,3525.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,7419.0,281474976710656.0,4398046511104.0,17179869184.0
64.0,1295.0,70368744177664.0,549755813888.0,8589934592.0
64.0,6847.0,70368744177664.0,549755813888.0,4294967296.0
64.0,3294.0,562949953421312.0,8796093022208.0,68719476736.0
64.0,883.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,5633.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,4467.0,70368744177664.0,549755813888.0,4294967296.0
64.0,8313.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,4363.0,281474976710656.0,4398046511104.0,68719476736.0
128.0,9385.0,1125899906842624.0,8796093022208.0,68719476736.0
128.0,6684.0,281474976710656.0,4398046511104.0,34359738368.0
128.0,4645.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,4473.0,281474976710656.0,4398046511104.0,34359738368.0
128.0,7744.0,70368744177664.0,1099511627776.0,17179869184.0
128.0,1536.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,3247.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,1642.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,7113.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,1811.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,4955.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,4289.0,140737488355328.0,1099511627776.0,34359738368.0
128.0,8168.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,3692.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,6909.0,140737488355328.0,1099511627776.0,4294967296.0
128.0,8314.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,1996.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,8821.0,562949953421312.0,8796093022208.0,68719476736.0
128.0,9640.0,70368744177664.0,1099511627776.0,8589934592.0
128.0,2256.0,562949953421312.0,8796093022208.0,68719476736.0
128.0,9189.0,281474976710656.0,4398046511104.0,34359738368.0
128.0,8884.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,1270.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,1604.0,562949953421312.0,4398046511104.0,68719476736.0
128.0,8329.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,7933.0,70368744177664.0,549755813888.0,8589934592.0
128.0,1889.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,7561.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,1397.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,2394.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,5509.0,70368744177664.0,549755813888.0,8589934592.0
128.0,6992.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,5217.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,5415.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,2882.0,562949953421312.0,4398046511104.0,17179869184.0
128.0,9025.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,7794.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,6391.0,70368744177664.0,549755813888.0,8589934592.0
128.0,7669.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,915.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,8411.0,562949953421312.0,4398046511104.0,68719476736.0
128.0,5442.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,3872.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,4403.0,70368744177664.0,1099511627776.0,8589934592.0
128.0,4745.0,562949953421312.0,4398046511104.0,34359738368.0
128.0,6288.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,675.0,140737488355328.0,2199023255552.0,34359738368.0
128.0,7545.0,562949953421312.0,8796093022208.0,68719476736.0
128.0,2264.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,6482.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,8976.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,6803.0,562949953421312.0,4398046511104.0,34359738368.0
128.0,3652.0,562949953421312.0,8796093022208.0,68719476736.0
128.0,4433.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,4616.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,9197.0,562949953421312.0,4398046511104.0,68719476736.0
128.0,5089.0,1125899906842624.0,8796093022208.0,68719476736.0
128.0,7293.0,281474976710656.0,4398046511104.0,34359738368.0
128.0,7403.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,3994.0,140737488355328.0,2199023255552.0,34359738368.0
128.0,3679.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,7663.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,761.0,70368744177664.0,549755813888.0,17179869184.0
128.0,6366.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,6823.0,281474976710656.0,1099511627776.0,4294967296.0
128.0,8224.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,851.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,2750.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,971.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,9654.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,7536.0,562949953421312.0,4398046511104.0,34359738368.0
128.0,436.0,140737488355328.0,2199023255552.0,17179869184.0
128.0,8505.0,1125899906842624.0,8796093022208.0,68719476736.0
128.0,6965.0,70368744177664.0,1099511627776.0,8589934592.0
128.0,4348.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,8528.0,70368744177664.0,1099511627776.0,8589934592.0
128.0,1937.0,281474976710656.0,4398046511104.0,17179869184.0
128.0,3621.0,70368744177664.0,549755813888.0,8589934592.0
128.0,634.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,933.0,281474976710656.0,4398046511104.0,17179869184.0
128.0,4963.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,9670.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,4346.0,281474976710656.0,2199023255552.0,34359738368.0
128.0,3119.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,8041.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,6278.0,562949953421312.0,4398046511104.0,34359738368.0
128.0,6744.0,140737488355328.0,1099511627776.0,8589934592.0
128.0,4681.0,562949953421312.0,4398046511104.0,34359738368.0
128.0,7757.0,562949953421312.0,8796093022208.0,34359738368.0
128.0,4094.0,281474976710656.0,4398046511104.0,34359738368.0
128.0,3525.0,140737488355328.0,2199023255552.0,8589934592.0
128.0,7419.0,562949953421312.0,8796093022208.0,68719476736.0
128.0,1295.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,6847.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,3294.0,140737488355328.0,1099511627776.0,17179869184.0
128.0,883.0,281474976710656.0,2199023255552.0,17179869184.0
128.0,5633.0,140737488355328.0,2199023255552.0,34359738368.0
128.0,4467.0,562949953421312.0,4398046511104.0,68719476736.0
128.0,8313.0,70368744177664.0,1099511627776.0,17179869184.0
256.0,4363.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,9385.0,1125899906842624.0,8796093022208.0,137438953472.0
256.0,6684.0,1125899906842624.0,17592186044416.0,137438953472.0
256.0,4645.0,281474976710656.0,4398046511104.0,17179869184.0
256.0,4473.0,281474976710656.0,4398046511104.0,34359738368.0
256.0,7744.0,140737488355328.0,2199023255552.0,34359738368.0
256.0,1536.0,2251799813685248.0,17592186044416.0,274877906944.0
256.0,3247.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,1642.0,562949953421312.0,8796093022208.0,68719476736.0
256.0,7113.0,140737488355328.0,1099511627776.0,34359738368.0
256.0,1811.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,4955.0,281474976710656.0,2199023255552.0,68719476736.0
256.0,4289.0,281474976710656.0,4398046511104.0,34359738368.0
256.0,8168.0,281474976710656.0,4398046511104.0,34359738368.0
256.0,3692.0,562949953421312.0,4398046511104.0,68719476736.0
256.0,6909.0,562949953421312.0,4398046511104.0,68719476736.0
256.0,8314.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,1996.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,8821.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,9640.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,2256.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,9189.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,8884.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,1270.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,1604.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,8329.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,7933.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,1889.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,7561.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,1397.0,562949953421312.0,4398046511104.0,68719476736.0
256.0,2394.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,5509.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,6992.0,1125899906842624.0,8796093022208.0,68719476736.0
256.0,5217.0,562949953421312.0,2199023255552.0,34359738368.0
256.0,5415.0,281474976710656.0,4398046511104.0,34359738368.0
256.0,2882.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,9025.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,7794.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,6391.0,140737488355328.0,1099511627776.0,17179869184.0
256.0,7669.0,562949953421312.0,4398046511104.0,68719476736.0
256.0,915.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,8411.0,140737488355328.0,2199023255552.0,34359738368.0
256.0,5442.0,562949953421312.0,17592186044416.0,68719476736.0
256.0,3872.0,281474976710656.0,2199023255552.0,17179869184.0
256.0,4403.0,281474976710656.0,4398046511104.0,17179869184.0
256.0,4745.0,281474976710656.0,2199023255552.0,17179869184.0
256.0,6288.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,675.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,7545.0,140737488355328.0,1099511627776.0,17179869184.0
256.0,2264.0,562949953421312.0,4398046511104.0,17179869184.0
256.0,6482.0,562949953421312.0,4398046511104.0,34359738368.0
256.0,8976.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,6803.0,281474976710656.0,4398046511104.0,34359738368.0
256.0,3652.0,140737488355328.0,1099511627776.0,17179869184.0
256.0,4433.0,140737488355328.0,1099511627776.0,17179869184.0
256.0,4616.0,140737488355328.0,2199023255552.0,17179869184.0
256.0,9197.0,281474976710656.0,2199023255552.0,34359738368.0
256.0,5089.0,562949953421312.0,8796093022208.0,34359738368.0
256.0,7293.0,281474976710656.0,2199023255552.0,17179869184.0
