seed,R,C,M,epsilon
61325.0,64.0,10.0,14.0,0.8559761137215842
61325.0,2048.0,10.0,14.0,0.2381937575748383
85987.0,2.0,10.0,14.0,3.011166317072369
85987.0,64.0,10.0,14.0,0.4075534931944913
85987.0,2048.0,10.0,14.0,0.2575311503314861
53492.0,2.0,10.0,14.0,1.4786674325900435
53492.0,64.0,10.0,14.0,1.4370689185943004
53492.0,2048.0,10.0,14.0,0.0578698142292732
50778.0,2.0,10.0,14.0,0.8247718186987645
50778.0,64.0,10.0,14.0,0.3643116463874816
50778.0,2048.0,10.0,14.0,0.1319394160610909
48598.0,2.0,10.0,14.0,0.927165046365747
48598.0,64.0,10.0,14.0,0.3454510147177023
48598.0,2048.0,10.0,14.0,0.0883231564623971
61723.0,2.0,10.0,14.0,1.9564094142648656
61723.0,64.0,10.0,14.0,0.9726334835009652
61723.0,2048.0,10.0,14.0,0.0868752527597611
97134.0,2.0,10.0,14.0,1.0580147474697812
97134.0,64.0,10.0,14.0,0.1930450848088818
97134.0,2048.0,10.0,14.0,0.0855934095951211
54509.0,2.0,10.0,14.0,1.1373877191805537
54509.0,64.0,10.0,14.0,0.9004020913873885
54509.0,2048.0,10.0,14.0,0.3219428427223425
34753.0,2.0,10.0,16.0,1.260892373543759
34753.0,64.0,10.0,16.0,0.4740139726045598
34753.0,2048.0,10.0,16.0,0.1503204211129154
932.0,2.0,10.0,16.0,0.8142846696455492
932.0,64.0,10.0,16.0,0.1506176885693606
932.0,2048.0,10.0,16.0,0.0807949941577625
61325.0,2.0,10.0,16.0,1.7272837179423437
61325.0,64.0,10.0,16.0,0.8416342765620031
61325.0,2048.0,10.0,16.0,0.2389967280132436
85987.0,2.0,10.0,16.0,3.0113942190754632
85987.0,64.0,10.0,16.0,0.5456068915212633
85987.0,2048.0,10.0,16.0,0.2819286751578653
53492.0,2.0,10.0,16.0,1.7030354120756153
53492.0,64.0,10.0,16.0,1.048036083220362
53492.0,2048.0,10.0,16.0,0.0916016493136209
50778.0,2.0,10.0,16.0,0.8446958696738667
50778.0,64.0,10.0,16.0,0.3625109400032422
50778.0,2048.0,10.0,16.0,0.1196291501141
48598.0,2.0,10.0,16.0,2.0686851851302217
48598.0,64.0,10.0,16.0,0.4113010726780524
48598.0,2048.0,10.0,16.0,0.0497710379154361
61723.0,2.0,10.0,16.0,1.956573184923684
61723.0,64.0,10.0,16.0,1.109085184551061
61723.0,2048.0,10.0,16.0,0.0873382681946868
97134.0,2.0,10.0,16.0,1.094078690646238
97134.0,64.0,10.0,16.0,0.1810177908865753
97134.0,2048.0,10.0,16.0,0.0774045262974327
54509.0,2.0,10.0,16.0,1.0557434663206515
54509.0,64.0,10.0,16.0,0.8757996766630743
54509.0,2048.0,10.0,16.0,0.3453240742570593
34753.0,2.0,10.0,18.0,1.4132322454486783
34753.0,64.0,10.0,18.0,0.4030338658307268
34753.0,2048.0,10.0,18.0,0.1352504383207922
932.0,2.0,10.0,18.0,1.0046150556675
932.0,64.0,10.0,18.0,0.2809803470707492
932.0,2048.0,10.0,18.0,0.1118449364381446
61325.0,2.0,10.0,18.0,1.648482599992008
61325.0,64.0,10.0,18.0,1.0081934627553215
61325.0,2048.0,10.0,18.0,0.2483225581163481
85987.0,2.0,10.0,18.0,2.9122098617226326
85987.0,64.0,10.0,18.0,0.8491415932749335
85987.0,2048.0,10.0,18.0,0.2639668117514286
53492.0,2.0,10.0,18.0,1.707312026786742
53492.0,64.0,10.0,18.0,0.8943633916448452
53492.0,2048.0,10.0,18.0,0.0882056116928251
50778.0,2.0,10.0,18.0,0.8845476717751479
50778.0,64.0,10.0,18.0,0.3068131864669834
50778.0,2048.0,10.0,18.0,0.1036117414816888
48598.0,2.0,10.0,18.0,2.0690136278061235
48598.0,64.0,10.0,18.0,0.3985785771251062
48598.0,2048.0,10.0,18.0,0.0563531828773713
61723.0,2.0,10.0,18.0,1.8202191320787096
61723.0,64.0,10.0,18.0,1.10479714728683
61723.0,2048.0,10.0,18.0,0.0944022979171759
97134.0,2.0,10.0,18.0,1.091896917529568
97134.0,64.0,10.0,18.0,0.1816138485585918
97134.0,2048.0,10.0,18.0,0.0792198425900139
54509.0,2.0,10.0,18.0,1.7978803876908662
54509.0,64.0,10.0,18.0,1.3429245392814146
54509.0,2048.0,10.0,18.0,0.1346563896061159
34753.0,2.0,10.0,2.0,2.0524264510157764e-09
34753.0,8.0,10.0,2.0,2.0524264510157764e-09
34753.0,32.0,10.0,2.0,2.0524264510157764e-09
34753.0,128.0,10.0,2.0,2.0524264510157764e-09
34753.0,512.0,10.0,2.0,2.0524264510157764e-09
34753.0,2048.0,10.0,2.0,2.0524264510157764e-09
34753.0,8192.0,10.0,2.0,2.0524264510157764e-09
34753.0,32768.0,10.0,2.0,2.0524264510157764e-09
932.0,2.0,10.0,2.0,3.3821379030740667e-10
932.0,8.0,10.0,2.0,3.3821379030740667e-10
932.0,32.0,10.0,2.0,3.3821379030740667e-10
932.0,128.0,10.0,2.0,3.3821379030740667e-10
932.0,512.0,10.0,2.0,3.3821367928510416e-10
932.0,2048.0,10.0,2.0,3.3821379030740667e-10
932.0,8192.0,10.0,2.0,3.3821379030740667e-10
932.0,32768.0,10.0,2.0,3.3821379030740667e-10
61325.0,2.0,10.0,2.0,0.9429621575839882
61325.0,8.0,10.0,2.0,0.9429621575839882
61325.0,32.0,10.0,2.0,0.0570378424160136
61325.0,128.0,10.0,2.0,0.0570378424160118
61325.0,512.0,10.0,2.0,0.05313159241601
61325.0,2048.0,10.0,2.0,0.0482487799160118
61325.0,8192.0,10.0,2.0,0.0043034674160118
61325.0,32768.0,10.0,2.0,0.0094294427402417
85987.0,2.0,10.0,2.0,8.27798274372071e-10
85987.0,8.0,10.0,2.0,8.27798274372071e-10
85987.0,32.0,10.0,2.0,8.27798274372071e-10
85987.0,128.0,10.0,2.0,8.27798274372071e-10
85987.0,512.0,10.0,2.0,8.27798274372071e-10
85987.0,2048.0,10.0,2.0,8.27798274372071e-10
85987.0,8192.0,10.0,2.0,8.27798052327466e-10
85987.0,32768.0,10.0,2.0,8.27798052327466e-10
53492.0,2.0,10.0,2.0,5.0422377384506945e-09
53492.0,8.0,10.0,2.0,5.042237960495299e-09
53492.0,32.0,10.0,2.0,5.0422377384506945e-09
53492.0,128.0,10.0,2.0,5.0422377384506945e-09
53492.0,512.0,10.0,2.0,5.0422377384506945e-09
53492.0,2048.0,10.0,2.0,5.0422377384506945e-09
53492.0,8192.0,10.0,2.0,5.0422377384506945e-09
53492.0,32768.0,10.0,2.0,5.042237960495299e-09
50778.0,2.0,10.0,2.0,5.576698214326825e-09
50778.0,8.0,10.0,2.0,5.5766983253491276e-09
50778.0,32.0,10.0,2.0,5.576698214326825e-09
50778.0,128.0,10.0,2.0,5.576698214326825e-09
50778.0,512.0,10.0,2.0,5.57669799228222e-09
50778.0,2048.0,10.0,2.0,5.576698214326825e-09
50778.0,8192.0,10.0,2.0,5.576698214326825e-09
50778.0,32768.0,10.0,2.0,5.576698214326825e-09
48598.0,2.0,10.0,2.0,1.762088253087768e-10
48598.0,8.0,10.0,2.0,1.762088253087768e-10
48598.0,32.0,10.0,2.0,1.762088253087768e-10
48598.0,128.0,10.0,2.0,1.762088253087768e-10
48598.0,512.0,10.0,2.0,1.762088253087768e-10
48598.0,2048.0,10.0,2.0,1.762088253087768e-10
48598.0,8192.0,10.0,2.0,1.762088253087768e-10
48598.0,32768.0,10.0,2.0,1.762088253087768e-10
61723.0,2.0,10.0,2.0,4.841799405852498e-09
61723.0,8.0,10.0,2.0,4.841799405852498e-09
61723.0,32.0,10.0,2.0,4.841799405852498e-09
61723.0,128.0,10.0,2.0,4.841799405852498e-09
61723.0,512.0,10.0,2.0,4.841799405852498e-09
61723.0,2048.0,10.0,2.0,4.841799183807893e-09
61723.0,8192.0,10.0,2.0,4.841799405852498e-09
61723.0,32768.0,10.0,2.0,4.841799405852498e-09
97134.0,2.0,10.0,2.0,5.811329195637427e-11
97134.0,8.0,10.0,2.0,5.811329195637427e-11
97134.0,32.0,10.0,2.0,5.811329195637427e-11
97134.0,128.0,10.0,2.0,5.811329195637427e-11
