Seed,R,Tol,Convergence,Loss,Accuracy
37194.0,256.0,0.01,11.0,0.6322380029563316,0.80859375
37194.0,256.0,0.001,12.0,0.6274460702547913,0.81640625
37194.0,256.0,0.0001,189.0,0.5973744682217399,0.87890625
37194.0,512.0,0.01,5.0,1.3430333511008086,0.453125
37194.0,512.0,0.001,40.0,0.5990992907531213,0.90625
37194.0,512.0,0.0001,122.0,0.568332285188859,0.91015625
37194.0,1024.0,0.01,6.0,0.9411668766368746,0.625
37194.0,1024.0,0.001,85.0,0.5625347026243651,0.91015625
37194.0,1024.0,0.0001,99.0,0.5427979462291194,0.8984375
37194.0,2048.0,0.01,13.0,0.5949756239011652,0.8203125
37194.0,2048.0,0.001,63.0,0.5670933133552519,0.7890625
37194.0,2048.0,0.0001,218.0,0.5726000850748499,0.875
37194.0,4096.0,0.01,18.0,0.6202137059277348,0.8984375
37194.0,4096.0,0.001,44.0,0.5853979627163313,0.83203125
37194.0,4096.0,0.0001,44.0,0.5835554192729078,0.83984375
87498.0,8.0,0.01,11.0,2.009244514771451,0.4921875
87498.0,8.0,0.001,18.0,4.218221857806293,0.578125
87498.0,8.0,0.0001,18.0,4.067633268332925,0.59375
87498.0,16.0,0.01,11.0,1.9248410883070761,0.4140625
87498.0,16.0,0.001,32.0,0.9937406268791464,0.67578125
87498.0,16.0,0.0001,181.0,0.6638839167018098,0.7890625
87498.0,32.0,0.01,6.0,0.7508272951748799,0.7421875
87498.0,32.0,0.001,7.0,0.7451909941981303,0.7734375
87498.0,32.0,0.0001,116.0,0.5721634288572703,0.85546875
87498.0,64.0,0.01,14.0,1.3490913839902312,0.37890625
87498.0,64.0,0.001,22.0,0.8412956456039304,0.6328125
87498.0,64.0,0.0001,264.0,0.5491485779300687,0.91796875
87498.0,128.0,0.01,6.0,0.8173375094562764,0.68359375
87498.0,128.0,0.001,29.0,0.6305420202707904,0.90625
87498.0,128.0,0.0001,224.0,0.5170638658778998,0.953125
87498.0,256.0,0.01,7.0,0.6302731755393987,0.83984375
87498.0,256.0,0.001,20.0,0.7290768180873388,0.75
87498.0,256.0,0.0001,122.0,0.5218528471550148,0.9296875
87498.0,512.0,0.01,16.0,1.176647755144737,0.359375
87498.0,512.0,0.001,34.0,0.7713697706792548,0.7109375
87498.0,512.0,0.0001,110.0,0.527927194645622,0.92578125
87498.0,1024.0,0.01,6.0,0.6154820695920427,0.859375
87498.0,1024.0,0.001,6.0,0.6102662262700191,0.85546875
87498.0,1024.0,0.0001,118.0,0.5197029915635563,0.93359375
87498.0,2048.0,0.01,36.0,0.8340455662375097,0.671875
87498.0,2048.0,0.001,49.0,0.616542444099772,0.78125
87498.0,2048.0,0.0001,101.0,0.5518843023263055,0.890625
87498.0,4096.0,0.01,7.0,0.6474528877085697,0.7890625
87498.0,4096.0,0.001,7.0,0.6455309476695265,0.78125
87498.0,4096.0,0.0001,197.0,0.5101516430459763,0.953125
44131.0,8.0,0.01,5.0,2.188369221045118,0.57421875
44131.0,8.0,0.001,11.0,1.3111394927471527,0.5859375
44131.0,8.0,0.0001,57.0,2.676957309712635,0.40625
44131.0,16.0,0.01,3.0,2.219418687627775,0.5625
44131.0,16.0,0.001,32.0,0.8418710571314998,0.66796875
44131.0,16.0,0.0001,32.0,0.8805982409550281,0.65234375
44131.0,32.0,0.01,4.0,1.732944339230877,0.37109375
44131.0,32.0,0.001,26.0,0.8186499407145772,0.734375
44131.0,32.0,0.0001,72.0,0.7470443475951443,0.77734375
44131.0,64.0,0.01,14.0,1.123620179718658,0.58984375
44131.0,64.0,0.001,14.0,1.1159266590975971,0.6328125
44131.0,64.0,0.0001,26.0,0.6559933445853894,0.77734375
44131.0,128.0,0.01,6.0,2.0395741415335653,0.3984375
44131.0,128.0,0.001,6.0,1.8867213530952827,0.359375
44131.0,128.0,0.0001,42.0,0.7154260222101636,0.8125
44131.0,256.0,0.01,2.0,0.7863936771740717,0.79296875
44131.0,256.0,0.001,30.0,0.6315556707782406,0.84375
