Seed,M,Tol,Convergence,Loss,Accuracy
82386.0,64.0,0.0001,435.0,0.49113439089855815,0.96875
82386.0,128.0,0.01,9.0,1.0482204162723658,0.484375
82386.0,128.0,0.001,17.0,0.7129712232795925,0.828125
82386.0,128.0,0.0001,275.0,0.5134410753399496,0.9296875
82386.0,256.0,0.01,5.0,1.2379521076255218,0.59765625
82386.0,256.0,0.001,18.0,0.682599514870791,0.8203125
82386.0,256.0,0.0001,30.0,0.6476272272911501,0.8515625
82386.0,512.0,0.01,15.0,0.7839918211319493,0.7109375
82386.0,512.0,0.001,17.0,0.8097018240332999,0.671875
82386.0,512.0,0.0001,206.0,0.535275770087928,0.955078125
82386.0,1024.0,0.01,16.0,0.832620188617681,0.6591796875
82386.0,1024.0,0.001,16.0,0.832620188617681,0.6591796875
82386.0,1024.0,0.0001,138.0,0.5427611898809791,0.9189453125
82386.0,2048.0,0.01,7.0,0.9865236022953299,0.6435546875
82386.0,2048.0,0.001,12.0,0.8842824094133054,0.54833984375
82386.0,2048.0,0.0001,172.0,0.5392047796859473,0.93896484375
37194.0,64.0,0.01,9.0,0.7990944619109646,0.703125
37194.0,64.0,0.001,74.0,0.7627520842483766,0.75
37194.0,64.0,0.0001,146.0,0.7158063244943983,0.75
37194.0,128.0,0.01,4.0,1.3706371163360354,0.609375
37194.0,128.0,0.001,6.0,1.358881049958927,0.609375
37194.0,128.0,0.0001,15.0,1.1731073688157676,0.578125
37194.0,256.0,0.01,7.0,0.9222852027105477,0.69921875
37194.0,256.0,0.001,38.0,0.6203105239295154,0.765625
37194.0,256.0,0.0001,38.0,0.6203105239295154,0.765625
37194.0,512.0,0.01,8.0,0.7033439789533605,0.82421875
37194.0,512.0,0.001,9.0,0.7031199211649817,0.82421875
37194.0,512.0,0.0001,66.0,0.5476403898495115,0.8828125
37194.0,1024.0,0.01,5.0,0.9846055650685483,0.544921875
37194.0,1024.0,0.001,7.0,0.8216135371400684,0.7109375
37194.0,1024.0,0.0001,108.0,0.5608343873117638,0.8505859375
37194.0,2048.0,0.01,7.0,0.7399964226431277,0.73388671875
37194.0,2048.0,0.001,11.0,0.6648686765890016,0.7421875
37194.0,2048.0,0.0001,80.0,0.6192344862725858,0.7666015625
87498.0,64.0,0.01,23.0,0.7853394939388496,0.6875
87498.0,64.0,0.001,23.0,0.7853394939388496,0.6875
87498.0,64.0,0.0001,23.0,0.7853394939388496,0.6875
87498.0,128.0,0.01,19.0,0.7299298606427076,0.703125
87498.0,128.0,0.001,19.0,0.7299298606427076,0.703125
87498.0,128.0,0.0001,19.0,0.7299298606427076,0.703125
87498.0,256.0,0.01,18.0,0.979616200367694,0.5390625
87498.0,256.0,0.001,61.0,0.6768703895369002,0.84375
87498.0,256.0,0.0001,86.0,0.5689032765891218,0.890625
87498.0,512.0,0.01,26.0,0.5772836028991845,0.86328125
