seed,R,C,M,train acc,test acc,epsilon,evaluations
11139.0,8.0,10.0,100.0,0.992,,0.1767027326603285,72455.0
11139.0,64.0,10.0,100.0,0.992,,0.1401349409080882,67857.0
11139.0,256.0,10.0,100.0,0.992,,0.0319251447593401,67822.0
11139.0,512.0,10.0,100.0,0.992,,0.0209285714854478,68642.0
11139.0,1024.0,10.0,100.0,0.992,,0.0139678529944421,67833.0
11139.0,2048.0,10.0,100.0,0.992,,0.0117955589370081,68360.0
11139.0,4096.0,10.0,100.0,0.992,,0.0091557760608038,68642.0
95270.0,1.0,10.0,100.0,0.983,,0.9840618065084096,84361.0
95270.0,4.0,10.0,100.0,0.992,,0.3095187171772272,78455.0
95270.0,8.0,10.0,100.0,0.992,,0.1272072140465959,73067.0
95270.0,64.0,10.0,100.0,0.992,,0.0993808491848213,67627.0
95270.0,256.0,10.0,100.0,0.992,,0.0225153502993513,70127.0
95270.0,512.0,10.0,100.0,0.992,,0.0107259744466118,70542.0
95270.0,1024.0,10.0,100.0,0.992,,0.0107461214642117,70586.0
95270.0,2048.0,10.0,100.0,0.992,,0.019068129583118,69800.0
95270.0,4096.0,10.0,100.0,0.992,,0.0102623216311504,69208.0
19659.0,1.0,10.0,100.0,0.981,,1.0016909579645277,84314.0
19659.0,4.0,10.0,100.0,0.991,,0.3433220373912714,80277.0
19659.0,8.0,10.0,100.0,0.992,,0.1655445869816442,75415.0
19659.0,64.0,10.0,100.0,0.992,,0.1174674335591668,69380.0
19659.0,256.0,10.0,100.0,0.992,,0.0302188500585608,71007.0
19659.0,512.0,10.0,100.0,0.992,,0.0178590675122146,71860.0
19659.0,1024.0,10.0,100.0,0.992,,0.011542712672773,72036.0
19659.0,2048.0,10.0,100.0,0.992,,0.0129661803764529,72183.0
19659.0,4096.0,10.0,100.0,0.992,,0.0104229094624723,70592.0
36650.0,1.0,10.0,100.0,0.981,,0.9805434717086922,85650.0
36650.0,4.0,10.0,100.0,0.992,,0.362611625420232,78114.0
36650.0,8.0,10.0,100.0,0.992,,0.1712837885661945,72025.0
36650.0,64.0,10.0,100.0,0.993,,0.1070104066502292,68459.0
36650.0,256.0,10.0,100.0,0.993,,0.0265980502062503,73096.0
36650.0,512.0,10.0,100.0,0.993,,0.0075165527722769,71576.0
36650.0,1024.0,10.0,100.0,0.993,,0.0145842858697559,72595.0
36650.0,2048.0,10.0,100.0,0.993,,0.0166128760171972,72832.0
36650.0,4096.0,10.0,100.0,0.993,,0.0108808899624162,72821.0
10342.0,1.0,10.0,100.0,0.984,,0.9623364766714488,84514.0
10342.0,4.0,10.0,100.0,0.992,,0.3241404930918875,79793.0
10342.0,8.0,10.0,100.0,0.992,,0.1349958419125445,76291.0
10342.0,64.0,10.0,100.0,0.992,,0.0987408305917148,67581.0
10342.0,256.0,10.0,100.0,0.992,,0.0257524197387646,71501.0
10342.0,512.0,10.0,100.0,0.992,,0.0121538994852513,72361.0
10342.0,1024.0,10.0,100.0,0.992,,0.012506627470751,71036.0
10342.0,2048.0,10.0,100.0,0.992,,0.0180774157194928,72641.0
10342.0,4096.0,10.0,100.0,0.992,,0.0092308224003236,71468.0
29699.0,1.0,10.0,100.0,0.981,,0.9770702552164776,86063.0
29699.0,4.0,10.0,100.0,0.992,,0.3157288996071772,80163.0
29699.0,8.0,10.0,100.0,0.992,,0.141378188082054,76265.0
29699.0,64.0,10.0,100.0,0.992,,0.1028411932599363,68076.0
29699.0,256.0,10.0,100.0,0.992,,0.0142180335381431,72242.0
